column1,camis,dba,boro,building,street,zipcode,phone,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,cuisine_description
223058,30075445,Test test Test test Test test Test test Test test Test test Test test Test test Test test,Bronx,1007,MORRIS PARK AVENUE,10462,7188924968,40.84823226928711,-73.85597229003906,211,13,25200,2045445,2041270037,BX37,Bakery Products/Desserts
196730,30112340,WENDY'S,Brooklyn,469,FLATBUSH AVENUE,11225,7182875005,40.66265106201172,-73.96208190917969,309,40,32700,3029737,3011970017,BK60,Hamburgers
210410,30191841,DJ REYNOLDS PUB AND RESTAURANT,Manhattan,351,WEST   57 STREET,10019,2122452912,40.76732635498047,-73.98431396484375,104,03,13900,1026048,1010480008,MN15,Irish
228183,40356018,RIVIERA CATERERS,Brooklyn,2780,STILLWELL AVENUE,11224,7183723031,40.57992172241211,-73.98209381103516,313,47,34800,3347399,3069970098,BK21,American
247959,40356483,WILKEN'S FINE FOOD,Brooklyn,7114,AVENUE U,11234,7184443838,40.620113372802734,-73.90699005126953,318,46,70000,3237693,3084310041,BK45,Sandwiches
201548,40356731,TASTE THE TROPICS ICE CREAM,Brooklyn,1839,NOSTRAND AVENUE,11226,7188560821,40.64079666137695,-73.948486328125,317,45,82800,3112318,3049640001,BK95,Frozen Desserts
246922,40357217,WILD ASIA,Bronx,2300,SOUTHERN BOULEVARD,10460,7182207846,40.850555419921875,-73.88245391845703,206,15,33400,2116700,2031200020,BX99,American
152143,40359480,1 EAST 66TH STREET KITCHEN,Manhattan,1,EAST   66 STREET,10065,2128793900,40.76854705810547,-73.9695816040039,108,04,12200,1041159,1013810001,MN40,American
239169,40359705,NATHAN'S FAMOUS,Brooklyn,1310,SURF AVENUE,11224,7183332202,40.575538635253906,-73.98165130615234,313,47,35200,3189660,3070740340,BK21,Hotdogs
213079,40360045,SEUDA FOODS,Brooklyn,705,KINGS HIGHWAY,11223,7183751500,40.60618591308594,-73.96546936035156,315,44,41800,3177501,3066640028,BK25,Jewish/Kosher
229012,40360076,CARVEL,Brooklyn,203,CHURCH AVENUE,11218,7184389501,40.64332962036133,-73.97818756103516,312,39,49600,3124566,3053350041,BK41,Frozen Desserts
202409,40361618,SAL'S DELI,Queens,12908,20 AVENUE,11356,7186619498,40.781673431396484,-73.83941650390625,407,19,90700,4099345,4041740023,QN23,Sandwiches
181917,40361998,STEVE CHU'S DELI & GROCERY,Queens,3406,10 STREET,11106,7187268888,40.76457214355469,-73.93882751464844,401,26,3900,4003862,4003240031,QN68,Sandwiches
240398,40362264,P & S DELI GROCERY,Manhattan,730,COLUMBUS AVENUE,10025,2129323030,40.79262161254883,-73.96771240234375,107,06,18100,1082743,1012260029,MN12,American
246720,40362274,ANGELIKA FILM CENTER,Manhattan,18,WEST HOUSTON STREET,10012,2129952570,40.72574234008789,-73.99747467041016,102,01,5501,1008240,1005230048,MN23,American
123413,40362432,HO MEI RESTAURANT,Queens,10305,37 AVENUE,11368,7187796903,40.7533073425293,-73.86429595947266,403,21,37900,4043399,4017450030,QN26,Chinese
123139,40362869,SHASHEMENE INT'L RESTAURANT,Brooklyn,195,EAST   56 STREET,11203,3474300871,40.651981353759766,-73.92457580566406,317,41,93800,3103101,3047040001,BK96,Caribbean
229300,40363298,CAFE METRO,Manhattan,625,8 AVENUE,10018,2127149342,40.75618362426758,-73.99056243896484,104,03,11500,1083268,1010320029,MN15,American
218953,40363427,BAGELS N BUNS,Staten Island,2491,VICTORY BOULEVARD,10314,7187611900,40.610267639160156,-74.14640045166016,501,50,18901,5000000,5004860001,SI07,Sandwiches
236151,40363565,HOT BAGELS,Queens,7905,METROPOLITAN AVENUE,11379,7183268510,40.71320724487305,-73.87409973144531,405,30,65703,4437624,4030690069,QN21,Bagels/Pretzels
234034,40363834,CARVEL,Staten Island,1111,HYLAN BOULEVARD,10305,7188167807,40.59855270385742,-74.07964324951172,502,50,6400,5047319,5032270002,SI14,Frozen Desserts
163634,40363920,NEW GOLDEN BILLION,Brooklyn,976,RUTLAND ROAD,11212,7187357707,40.662139892578125,-73.92717742919922,317,41,88200,3099886,3046110006,BK96,Chinese
247594,40364179,SPOONBREAD TOO,Manhattan,364,WEST  110 STREET,10025,2128656744,40.80137252807617,-73.96015930175781,107,07,19300,1055741,1018450003,MN09,Soul Food
247966,40364220,KOSHER BAGEL HOLE,Brooklyn,1423,AVENUE J,11230,7182584150,40.6251106262207,-73.9620361328125,314,44,53000,3179615,3067070043,BK43,Jewish/Kosher
238981,40364296,HAPPY GARDEN,Bronx,277,EAST KINGSBRIDGE ROAD,10458,7182955588,40.8636474609375,-73.89424133300781,207,15,39901,2016817,2032930106,BX05,Chinese
226815,40364305,PHILADELPHIA GRILLE EXPRESS,Brooklyn,10004,4 AVENUE,11209,7182380747,40.61272430419922,-74.03375244140625,310,43,5602,3156122,3061370045,BK31,Pizza
204474,40364335,PETER LUGER STEAKHOUSE,Brooklyn,178,BROADWAY,11211,7183877400,40.709808349609375,-73.96200561523438,301,34,54900,3335296,3021320021,BK73,Steakhouse
137782,40364347,METROPOLITAN CLUB,Manhattan,1,EAST   60 STREET,10022,2128387400,40.76479721069336,-73.97230529785156,108,04,11401,1081206,1013750001,MN40,American
