column1,camis,violation_code,violation_description,action,score,inspection_type,grade,grade_date,inspection_date,critical_flag,record_date
11332,50010393,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Violations were cited in the following area(s).,12,Cycle Inspection / Re-inspection,A,2019-10-15 00:00:00.0000000,2019-10-15 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11333,50099700,02B,Hot food item not held at or above 140º F.,Violations were cited in the following area(s).,13,Pre-permit (Operational) / Re-inspection,A,2020-01-30 00:00:00.0000000,2020-01-30 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11334,50111874,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Violations were cited in the following area(s).,31,Pre-permit (Operational) / Initial Inspection,NULL,NULL,2021-09-07 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11335,41640776,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,12,Cycle Inspection / Re-inspection,A,2018-12-04 00:00:00.0000000,2018-12-04 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11336,50088892,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Violations were cited in the following area(s).,18,Cycle Inspection / Initial Inspection,NULL,NULL,2019-09-03 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11337,50098786,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Violations were cited in the following area(s).,28,Pre-permit (Operational) / Initial Inspection,N,NULL,2020-02-24 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11338,41243875,09A,Canned food product observed dented and not segregated from other consumable food items.,Violations were cited in the following area(s).,7,Cycle Inspection / Re-inspection,A,2019-03-25 00:00:00.0000000,2019-03-25 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11339,50076759,10H,Proper sanitization not provided for utensil ware washing operation.,Violations were cited in the following area(s).,4,Cycle Inspection / Initial Inspection,A,2020-03-09 00:00:00.0000000,2020-03-09 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11340,50088045,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Violations were cited in the following area(s).,22,Cycle Inspection / Initial Inspection,NULL,NULL,2021-07-22 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11341,50017217,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Violations were cited in the following area(s).,14,Cycle Inspection / Initial Inspection,NULL,NULL,2019-04-03 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
